City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
Avarua,CK,-21.21,-159.78,75.2,53,5,8.05,clear sky
Vaini,TO,-21.2,-175.2,77.0,65,20,10.29,few clouds
Saskylakh,RU,71.92,114.08,11.75,94,73,5.48,broken clouds
Albany,US,42.6,-73.97,54.0,89,100,6.31,overcast clouds
Great Falls,US,47.5,-111.3,55.4,47,90,24.16,overcast clouds
Sorong,ID,-0.88,131.25,79.68,84,63,4.94,broken clouds
Port Elizabeth,ZA,-33.92,25.57,55.4,76,13,14.99,few clouds
Sai Buri,TH,6.7,101.62,78.85,75,100,8.99,overcast clouds
Porto Seguro,BR,-16.45,-39.06,77.0,83,40,6.93,scattered clouds
Daru,PG,-9.08,143.21,81.1,80,60,15.26,light rain
Hilo,US,19.73,-155.09,84.2,62,90,10.29,overcast clouds
Bluff,NZ,-46.6,168.33,45.0,77,89,14.0,overcast clouds
Punta Arenas,CL,-53.15,-70.92,42.8,76,75,31.09,broken clouds
Saint-Georges,GD,12.06,-61.75,84.2,79,40,2.24,scattered clouds
Pangai,TO,-19.8,-174.35,78.8,57,75,13.87,broken clouds
Alice Springs,AU,-23.7,133.88,75.0,20,0,1.12,clear sky
Busselton,AU,-33.65,115.33,62.01,73,43,13.27,scattered clouds
Bathsheba,BB,13.22,-59.52,80.6,83,75,4.7,broken clouds
Ushuaia,AR,-54.8,-68.3,41.0,75,75,18.34,shower rain
Georgetown,MY,5.41,100.34,75.2,94,20,3.36,few clouds
Provideniya,RU,64.38,-173.3,30.2,68,75,6.71,broken clouds
Paamiut,GL,61.99,-49.67,37.83,87,96,9.13,light rain
Puerto Ayora,EC,-0.74,-90.35,68.65,87,83,10.0,broken clouds
Kushtagi,IN,15.77,76.2,70.72,89,100,13.47,heavy intensity rain
Nantucket,US,41.28,-70.1,64.4,93,90,13.87,mist
Portland,US,45.52,-122.68,63.0,67,90,13.87,overcast clouds
Macas,EC,-2.32,-78.12,77.0,57,20,3.36,few clouds
Port Alfred,ZA,-33.59,26.89,56.52,76,2,12.62,clear sky
Hirara,JP,24.8,125.28,77.0,73,40,9.17,shower rain
New Norfolk,AU,-42.78,147.06,52.0,59,23,1.99,few clouds
Nago,JP,26.59,127.98,73.4,88,1,5.82,clear sky
Chara,RU,56.91,118.26,16.45,84,100,4.99,overcast clouds
Gat,IL,31.61,34.76,73.0,68,14,3.36,few clouds
Dongsheng,CN,39.82,109.98,39.58,62,77,8.86,broken clouds
Padang,ID,-0.95,100.35,77.81,73,100,4.05,light rain
Lebu,CL,-37.62,-73.65,52.63,89,4,20.51,clear sky
Cape Town,ZA,-33.93,18.42,57.0,76,8,6.93,clear sky
Bagdarin,RU,54.43,113.6,14.41,82,3,3.49,clear sky
Nikolskoye,RU,59.7,30.79,46.99,100,43,4.47,fog
Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,81.09,68,73,0.83,broken clouds
Brae,GB,60.4,-1.35,50.0,87,89,19.46,overcast clouds
Badin,PK,24.66,68.84,81.48,18,5,8.34,clear sky
Durant,US,33.99,-96.37,80.6,32,1,8.05,clear sky
La Ronge,CA,55.1,-105.28,33.8,59,75,18.34,broken clouds
Fort Nelson,CA,58.81,-122.7,30.2,86,90,6.93,light snow
Necochea,AR,-38.55,-58.74,64.99,73,0,4.0,clear sky
Pocone,BR,-16.26,-56.62,89.69,38,1,6.31,clear sky
Hobart,AU,-42.88,147.33,54.0,71,75,5.82,broken clouds
Longyearbyen,SJ,78.22,15.64,35.6,69,75,17.22,broken clouds
Esperance,AU,-33.87,121.9,62.6,82,79,5.82,broken clouds
Rikitea,PF,-23.12,-134.97,73.44,74,0,14.34,clear sky
Jamestown,US,42.1,-79.24,55.99,58,1,10.29,clear sky
Butaritari,KI,3.07,172.79,82.15,74,43,18.81,scattered clouds
Mataura,NZ,-46.19,168.86,45.0,77,87,14.0,overcast clouds
Mahebourg,MU,-20.41,57.7,75.2,78,40,11.41,shower rain
Villa Carlos Paz,AR,-31.42,-64.5,75.99,23,90,13.87,overcast clouds
Ponta Do Sol,PT,32.67,-17.1,69.8,73,20,12.75,few clouds
Katherine,AU,-14.47,132.27,84.2,62,4,3.36,clear sky
Newport,GB,51.59,-3.0,52.0,94,78,1.01,broken clouds
Leningradskiy,RU,69.38,178.42,21.61,87,19,6.55,few clouds
Alofi,NU,-19.06,-169.92,77.0,57,75,16.11,broken clouds
Atuona,PF,-9.8,-139.03,78.24,74,20,18.16,few clouds
Port Hardy,CA,50.7,-127.42,50.0,87,75,13.87,light intensity shower rain
Eureka,US,40.8,-124.16,73.0,73,6,3.0,clear sky
Makakilo City,US,21.35,-158.09,89.6,46,1,11.41,clear sky
East London,ZA,-33.02,27.91,58.98,68,12,14.34,few clouds
Odzak,BA,45.01,18.33,45.0,84,44,6.2,scattered clouds
Ust-Nera,RU,64.57,143.2,34.52,87,100,7.45,overcast clouds
Douglas,US,41.3,-96.17,68.0,29,1,1.14,clear sky
Tiksi,RU,71.69,128.87,9.9,94,6,5.53,clear sky
Bernal,PE,-5.45,-80.75,71.35,66,19,15.95,few clouds
Torbay,CA,47.67,-52.73,43.0,75,20,9.17,few clouds
Lasa,IT,46.62,10.7,39.0,80,5,6.93,clear sky
Vila,PT,42.03,-8.16,50.0,81,94,5.01,overcast clouds
Sitka,US,57.05,-135.33,48.2,81,1,4.7,clear sky
Cayenne,GF,4.93,-52.33,82.4,78,83,3.36,broken clouds
Tanushimaru,JP,33.35,130.68,68.0,63,20,14.99,few clouds
Palmer,US,42.16,-72.33,51.01,93,90,9.17,light intensity drizzle
Qaanaaq,GL,77.48,-69.36,22.59,78,0,7.29,clear sky
Kapaa,US,22.08,-159.32,86.0,66,40,16.11,scattered clouds
Berdigestyakh,RU,62.1,126.7,17.73,90,100,9.71,overcast clouds
Atambua,ID,-9.11,124.89,78.82,53,29,3.38,scattered clouds
Mar Del Plata,AR,-38.0,-57.56,61.0,87,0,12.75,light rain
Hermanus,ZA,-34.42,19.23,46.99,90,18,1.01,few clouds
Saint-Pierre,RE,-21.34,55.48,73.4,69,75,3.36,broken clouds
Saint-Philippe,RE,-21.36,55.77,73.4,69,75,3.36,broken clouds
Son La,VN,21.32,103.9,66.96,93,100,0.92,overcast clouds
Sorland,NO,67.67,12.69,44.53,82,100,16.69,light rain
Srednekolymsk,RU,67.45,153.68,37.49,78,95,9.75,overcast clouds
Iqaluit,CA,63.75,-68.51,26.6,79,20,8.05,few clouds
Salme,NP,28.04,85.09,64.4,100,20,2.24,few clouds
Baykit,RU,61.67,96.37,23.38,95,54,1.68,broken clouds
Guerrero Negro,MX,27.98,-114.06,91.04,35,98,16.02,overcast clouds
Ribeira Grande,PT,38.52,-28.7,69.22,77,53,12.01,broken clouds
Bridlington,GB,54.08,-0.19,51.01,93,48,3.36,scattered clouds
Mandalgovi,MN,45.76,106.27,27.45,77,77,6.82,broken clouds
Aykhal,RU,66.0,111.5,14.0,92,45,2.24,scattered clouds
Fortuna,US,40.6,-124.16,73.99,68,1,13.87,clear sky
Havre-Saint-Pierre,CA,50.23,-63.6,39.2,86,1,6.93,clear sky
Chuy,UY,-33.7,-53.46,53.74,94,16,3.89,few clouds
Mangan,IN,27.52,88.53,70.2,37,0,4.81,clear sky
Port-Gentil,GA,-0.72,8.78,78.8,83,90,12.75,overcast clouds
Roald,NO,62.58,6.13,46.4,87,0,13.87,clear sky
Kyaikkami,MM,16.08,97.57,79.38,85,100,6.73,overcast clouds
Dakar,SN,14.69,-17.44,82.4,83,20,13.87,thunderstorm
Arroyo,ES,41.61,-4.8,50.0,71,13,8.05,few clouds
Yulara,AU,-25.24,130.99,69.8,21,0,10.29,clear sky
Mishan,CN,45.55,131.88,35.44,82,11,13.4,few clouds
Misratah,LY,32.38,15.09,70.32,49,0,9.73,clear sky
Lokosovo,RU,61.13,74.82,42.71,92,91,12.19,overcast clouds
Bambous Virieux,MU,-20.34,57.76,75.2,78,40,11.41,shower rain
Plettenberg Bay,ZA,-34.05,23.37,52.79,78,13,4.23,few clouds
Korla,CN,41.76,86.15,44.71,52,0,4.18,clear sky
Ust-Maya,RU,60.42,134.53,18.27,91,99,11.39,overcast clouds
San Ramon,US,37.78,-121.98,91.4,16,1,6.93,clear sky
Puerto Leguizamo,CO,-0.19,-74.78,80.67,65,66,0.25,broken clouds
Rutland,US,43.62,-73.02,51.8,93,90,3.36,overcast clouds
Castro,BR,-24.79,-50.01,68.97,56,80,2.64,broken clouds
Narsaq,GL,60.92,-46.05,41.0,82,99,3.36,overcast clouds
San Quintin,MX,30.48,-115.95,86.56,28,0,12.75,clear sky
Ouahigouya,BF,13.58,-2.42,87.08,38,8,8.1,clear sky
Lompoc,US,34.64,-120.46,79.0,44,1,18.34,clear sky
Tuktoyaktuk,CA,69.45,-133.04,21.2,92,90,9.17,light snow
Belaya Gora,RU,68.53,146.42,19.02,96,80,4.45,broken clouds
Ancud,CL,-41.87,-73.82,53.6,62,75,9.17,broken clouds
Lubango,AO,-14.92,13.49,64.87,47,38,7.54,scattered clouds
Nchelenge,ZM,-9.35,28.73,71.8,76,79,5.08,broken clouds
Lorengau,PG,-2.02,147.27,79.32,87,100,9.33,heavy intensity rain
Chandla,IN,25.08,80.2,78.57,79,100,4.32,overcast clouds
Pangnirtung,CA,66.15,-65.71,28.4,79,20,3.36,few clouds
Tateyama,JP,34.98,139.87,70.0,52,14,5.01,few clouds
Barrow,US,71.29,-156.79,26.6,53,40,16.11,scattered clouds
Klaksvik,FO,62.23,-6.59,44.6,93,43,1.12,scattered clouds
Atar,MR,20.52,-13.05,84.67,49,100,9.46,overcast clouds
Cienfuegos,CU,22.15,-80.44,84.2,74,75,8.05,broken clouds
Nuuk,GL,64.18,-51.72,37.4,93,85,1.12,overcast clouds
Carnarvon,AU,-24.87,113.63,66.2,93,36,10.29,scattered clouds
Naryan-Mar,RU,67.67,53.09,33.39,91,57,9.33,broken clouds
Tezu,IN,27.92,96.17,74.23,62,0,3.18,clear sky
Palana,RU,59.12,159.97,39.87,68,100,7.36,overcast clouds
Dawlatabad,AF,36.41,64.91,44.35,58,0,1.23,clear sky
Ulaangom,MN,49.98,92.07,36.79,79,100,6.35,light rain
Tucuman,AR,-26.82,-65.22,87.8,25,56,17.22,smoke
Lavrentiya,RU,65.58,-171.0,31.46,89,40,4.16,scattered clouds
Khor,RU,47.89,134.95,31.06,92,78,17.69,broken clouds
Luderitz,NA,-26.65,15.16,68.88,42,0,18.7,clear sky
Devils Lake,US,48.11,-98.87,53.6,32,1,19.46,clear sky
Touros,BR,-5.2,-35.46,77.0,78,40,6.93,scattered clouds
Caravelas,BR,-17.71,-39.25,74.79,92,58,8.79,broken clouds
Takoradi,GH,4.88,-1.76,76.32,90,91,9.71,overcast clouds
Bani,DO,18.28,-70.33,84.2,79,40,6.93,scattered clouds
Sao Geraldo Do Araguaia,BR,-6.4,-48.55,75.9,80,63,1.95,broken clouds
Olafsvik,IS,64.89,-23.71,46.65,92,100,27.67,heavy intensity rain
Nanning,CN,22.82,108.32,69.8,94,90,8.95,light rain
Coquimbo,CL,-29.95,-71.34,55.4,82,90,6.93,overcast clouds
Malinovoye Ozero,RU,51.68,79.78,43.41,79,94,2.98,overcast clouds
Aksarka,RU,66.56,67.8,41.59,90,100,14.23,overcast clouds
Upernavik,GL,72.79,-56.15,23.94,90,32,4.29,scattered clouds
Haines Junction,CA,60.75,-137.51,37.89,73,90,3.13,overcast clouds
Malayal,PH,7.21,121.94,73.4,100,75,1.5,broken clouds
Yongan,CN,39.7,113.69,42.37,56,99,5.91,overcast clouds
Te Anau,NZ,-45.42,167.72,43.05,78,57,3.58,broken clouds
Qasigiannguit,GL,68.82,-51.19,44.6,48,9,6.93,clear sky
Broome,US,42.25,-75.83,54.0,71,1,10.29,clear sky
Kaitangata,NZ,-46.28,169.85,46.0,71,56,8.99,broken clouds
Taltal,CL,-25.4,-70.48,57.97,75,26,5.03,scattered clouds
